id,generico_id,grupo_insumo_id,created_at,updated_at,deleted_at
278,278,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
279,279,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
280,280,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
281,281,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
282,282,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
283,283,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
284,284,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
285,285,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
286,286,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
287,287,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
288,288,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
289,289,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
290,290,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
291,291,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
292,292,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
293,293,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
294,294,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
295,295,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
296,296,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
297,297,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
298,298,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
299,299,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
300,300,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
301,301,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
302,302,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
303,303,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
304,304,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
305,305,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
306,306,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
307,307,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
308,308,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
309,309,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
310,310,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
311,311,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
312,312,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
313,313,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
314,314,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
315,315,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
316,316,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
317,317,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
318,318,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
319,319,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
