id,clues,almacen_id,mes,anio,presupuesto_id,proveedor_id,causes_autorizado,causes_modificado,causes_comprometido,causes_devengado,causes_disponible,insumos_autorizado,insumos_modificado,insumos_comprometido,insumos_devengado,insumos_disponible,no_causes_autorizado,no_causes_modificado,no_causes_comprometido,no_causes_devengado,no_causes_disponible,material_curacion_autorizado,material_curacion_modificado,material_curacion_comprometido,material_curacion_devengado,material_curacion_disponible,validation,created_at,updated_at,deleted_at
57,CSSSA000412,00012,5,2017,1,1,64282.72,64202.34,49076.84,15125.50,0.00,0.00,0.00,0.00,0.00,0.00,40778.10,35894.40,12314.26,23580.14,0.00,61734.78,55024.69,31612.85,23411.84,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
58,CSSSA017336,000121,5,2017,1,1,1068002.04,204779.50,0.00,204779.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2031752.42,339174.53,0.00,339174.53,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
59,CSSSA017365,000124,5,2017,1,1,314182.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,597697.15,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
60,CSSSA018776,000138,5,2017,1,2,826492.06,298067.73,0.00,298067.73,0.00,0.00,0.00,0.00,0.00,0.00,524289.91,43853.42,0.00,43853.42,0.00,793732.93,389762.27,0.01,389762.26,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
61,CSSSA001030,00016,5,2017,1,2,734659.61,160429.20,0.00,160429.20,0.00,0.00,0.00,0.00,0.00,0.00,466035.47,87871.20,0.00,87871.20,0.00,705540.38,134645.63,0.00,134645.63,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
62,CSSSA018781,000139,5,2017,1,2,155900.81,37852.06,0.00,37852.06,0.00,0.00,0.00,0.00,0.00,0.00,98896.56,0.00,0.00,0.00,0.00,149721.47,36639.53,0.00,36639.53,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
63,CSSSA003265,00019,5,2017,1,2,243302.60,80021.39,0.00,80021.39,0.00,0.00,0.00,0.00,0.00,0.00,154340.38,980.65,0.00,980.65,0.00,233658.97,86805.44,0.00,86805.44,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
64,CSSSA017504,000130,5,2017,1,2,64282.72,19106.31,0.00,19106.31,0.00,0.00,0.00,0.00,0.00,0.00,40778.10,0.00,0.00,0.00,0.00,61734.78,33959.34,0.00,33959.34,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
65,CSSSA006403,000115,5,2017,1,3,734659.61,577427.87,0.00,577427.87,0.00,0.00,0.00,0.00,0.00,0.00,466035.47,322070.07,0.00,322070.07,0.00,705540.38,698282.32,0.00,698282.32,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
66,CSSSA002611,00018,5,2017,1,3,183664.90,298730.54,0.00,298730.54,0.00,0.00,0.00,0.00,0.00,0.00,116508.87,89044.73,0.00,89044.73,0.00,176385.10,215834.79,0.00,215834.79,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
67,CSSSA007074,000117,5,2017,1,3,183664.90,109028.96,0.00,109028.96,0.00,0.00,0.00,0.00,0.00,0.00,116508.87,101284.91,0.00,101284.91,0.00,176385.10,150508.13,0.00,150508.13,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
68,CSSSA018740,000135,5,2017,1,3,128565.43,34190.74,8546.30,25644.44,0.00,0.00,0.00,0.00,0.00,0.00,81556.21,36174.45,4384.00,31790.45,0.00,123469.57,55579.50,13885.65,41693.85,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
69,CSSSA000453,00013,5,2017,1,3,309204.30,231634.05,0.00,231634.05,0.00,0.00,0.00,0.00,0.00,0.00,196145.49,66699.50,0.00,66699.50,0.00,296948.57,221354.40,0.00,221354.40,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
70,CSSSA017353,000123,5,2017,1,2,642265.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1221837.24,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
71,CSSSA017394,000127,5,2017,1,3,671987.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1278378.98,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
72,CSSSA017406,000128,5,2017,1,3,170430.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324223.90,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
73,JURISMOTO10,000147,5,2017,1,2,260245.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,495086.80,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
74,CSSSA005773,000114,5,2017,1,3,550994.71,155076.50,0.00,155076.50,0.00,0.00,0.00,0.00,0.00,0.00,349526.60,79658.00,0.00,79658.00,0.00,529155.29,426470.83,0.00,426470.83,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
75,CSSSA018764,000137,5,2017,1,3,459162.26,243986.64,0.00,243986.64,0.00,0.00,0.00,0.00,0.00,0.00,291272.17,286280.50,0.00,286280.50,0.00,440962.74,417937.01,0.00,417937.01,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
76,CSSSA019481,000143,5,2017,1,3,260536.59,259541.89,37736.18,221805.71,0.00,0.00,0.00,0.00,0.00,0.00,165272.85,17531.80,231.77,17300.03,0.00,250209.87,270655.49,1905.21,268750.28,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
77,CSSSA018752,000136,5,2017,1,3,55099.47,46846.49,0.00,46846.49,0.00,0.00,0.00,0.00,0.00,0.00,34952.66,28292.48,0.00,28292.48,0.00,52915.53,47587.14,0.00,47587.14,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
78,CSSSA017726,000133,5,2017,1,3,42092.46,40325.03,0.00,40325.03,0.00,0.00,0.00,0.00,0.00,0.00,26701.59,18709.28,0.00,18709.28,0.00,40424.07,38587.64,0.00,38587.64,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
79,CSSSA018793,000140,5,2017,1,3,25822.77,12147.29,0.00,12147.29,0.00,0.00,0.00,0.00,0.00,0.00,16380.82,10258.50,0.00,10258.50,0.00,24799.25,18153.74,0.00,18153.74,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
80,CSSSA019476,000110,5,2017,1,3,20203.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12815.98,0.00,0.00,0.00,0.00,19402.36,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
81,CSSSAHIROSA,000113,5,2017,1,3,20203.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12815.98,0.00,0.00,0.00,0.00,19402.36,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
82,CSSSA019645,000144,5,2017,1,3,178140.54,140659.93,6876.54,133783.39,0.00,0.00,0.00,0.00,0.00,0.00,113004.46,57078.79,22680.32,34398.47,0.00,171079.70,149989.81,13266.46,136723.35,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
83,CSSSA004945,000112,5,2017,1,3,183664.90,166325.59,0.00,166325.59,0.00,0.00,0.00,0.00,0.00,0.00,116508.87,102065.70,0.00,102065.70,0.00,176385.10,127472.81,0.00,127472.81,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
84,CSSSAHGREFO,000146,5,2017,1,3,183664.90,81533.70,0.00,81533.70,0.00,0.00,0.00,0.00,0.00,0.00,116508.87,824.00,0.00,824.00,0.00,176385.10,35497.50,0.00,35497.50,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
85,CSSSA019242,000142,5,2017,1,3,35855.61,34050.32,0.00,34050.32,0.00,0.00,0.00,0.00,0.00,0.00,22745.21,5931.76,0.00,5931.76,0.00,34434.42,24957.28,0.00,24957.28,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
86,CSSSA017521,000132,5,2017,1,3,35855.61,34222.31,0.00,34222.31,0.00,0.00,0.00,0.00,0.00,0.00,22745.21,15900.65,0.00,15900.65,0.00,34434.42,19271.21,0.00,19271.21,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
87,CSSSA004595,000111,5,2017,1,3,275497.35,237521.80,0.00,237521.80,0.00,0.00,0.00,0.00,0.00,0.00,174763.30,45397.73,0.00,45397.73,0.00,264577.64,244711.95,0.00,244711.95,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
88,CSSSA008264,000119,5,2017,1,3,184900.85,111551.70,0.00,111551.70,0.00,0.00,0.00,0.00,0.00,0.00,117292.90,25430.00,0.00,25430.00,0.00,177572.05,96795.24,0.00,96795.24,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
89,CSSSA006934,000116,5,2017,1,3,64282.72,57963.17,0.00,57963.17,0.00,0.00,0.00,0.00,0.00,0.00,40778.10,7746.26,0.00,7746.26,0.00,61734.78,55746.46,0.00,55746.46,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
90,CSSSA017731,000134,5,2017,1,3,64282.72,62027.28,0.00,62027.28,0.00,0.00,0.00,0.00,0.00,0.00,40778.10,41177.89,0.00,41177.89,0.00,61734.78,49455.89,0.00,49455.89,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
