id,clues,mes,anio,presupuesto_id,proveedor_id,causes_autorizado,causes_modificado,causes_comprometido,causes_devengado,causes_disponible,no_causes_autorizado,no_causes_modificado,no_causes_comprometido,no_causes_devengado,no_causes_disponible,material_curacion_autorizado,material_curacion_modificado,material_curacion_comprometido,material_curacion_devengado,material_curacion_disponible
140,CSSSA017382,6,2017,1,3,466085.31,466085.31,0,0,466085.31,0,0,0,0,0,886674.29,886674.29,0,0,886674.29
141,CSSSA017411,6,2017,1,3,452968.25,452968.25,0,0,452968.25,0,0,0,0,0,861720.58,861720.58,0,0,861720.58
142,CSSSA007540,7,2017,1,1,642827.1607,642827.1607,0,0,642827.1607,407781.0386,407781.0386,0,0,407781.0386,617347.8355,617347.8355,0,0,617347.8355
143,CSSSA019954,7,2017,1,1,1469319.224,1469319.224,0,0,1469319.224,932070.9454,932070.9454,0,0,932070.9454,1411080.767,1411080.767,0,0,1411080.767
144,CSSSA000832,7,2017,1,1,245794.4653,245794.4653,0,0,245794.4653,155921.1067,155921.1067,0,0,155921.1067,236052.0688,236052.0688,0,0,236052.0688
145,CSSSA000045,7,2017,1,1,183664.903,183664.903,0,0,183664.903,116508.8682,116508.8682,0,0,116508.8682,176385.0959,176385.0959,0,0,176385.0959
146,CSSSA001626,7,2017,1,1,20203.13934,20203.13934,0,0,20203.13934,12815.9755,12815.9755,0,0,12815.9755,19402.36055,19402.36055,0,0,19402.36055
147,CSSSA009162,7,2017,1,1,110198.9418,110198.9418,0,0,110198.9418,69905.3209,69905.3209,0,0,69905.3209,105831.0575,105831.0575,0,0,105831.0575
148,CSSSA000651,7,2017,1,1,20203.13934,20203.13934,0,0,20203.13934,12815.9755,12815.9755,0,0,12815.9755,19402.36055,19402.36055,0,0,19402.36055
149,CSSSA018875,7,2017,1,1,257130.8643,257130.8643,0,0,257130.8643,163112.4154,163112.4154,0,0,163112.4154,246939.1342,246939.1342,0,0,246939.1342
150,CSSSA017516,7,2017,1,1,91832.45152,91832.45152,0,0,91832.45152,58254.43409,58254.43409,0,0,58254.43409,88192.54793,88192.54793,0,0,88192.54793
151,CSSSA000412,7,2017,1,1,64282.71607,64282.71607,0,0,64282.71607,40778.10386,40778.10386,0,0,40778.10386,61734.78355,61734.78355,0,0,61734.78355
152,CSSSA017336,7,2017,1,1,1068002.04,1068002.04,0,0,1068002.04,0,0,0,0,0,2031752.42,2031752.42,0,0,2031752.42
153,CSSSA017365,7,2017,1,1,314182.86,314182.86,0,0,314182.86,0,0,0,0,0,597697.15,597697.15,0,0,597697.15
154,CSSSA018776,7,2017,1,2,826492.0637,826492.0637,0,0,826492.0637,524289.9068,524289.9068,0,0,524289.9068,793732.9314,793732.9314,0,0,793732.9314
155,CSSSA001030,7,2017,1,2,734659.6122,734659.6122,0,0,734659.6122,466035.4727,466035.4727,0,0,466035.4727,705540.3835,705540.3835,0,0,705540.3835
156,CSSSA018781,7,2017,1,2,155900.8113,155900.8113,0,0,155900.8113,98896.55983,98896.55983,0,0,98896.55983,149721.4715,149721.4715,0,0,149721.4715
157,CSSSA003265,7,2017,1,2,243302.6012,243302.6012,0,0,243302.6012,154340.3787,154340.3787,0,0,154340.3787,233658.9731,233658.9731,0,0,233658.9731
158,CSSSA017504,7,2017,1,2,64282.71607,64282.71607,0,0,64282.71607,40778.10386,40778.10386,0,0,40778.10386,61734.78355,61734.78355,0,0,61734.78355
159,CSSSA006403,7,2017,1,2,734659.6122,734659.6122,0,0,734659.6122,466035.4727,466035.4727,0,0,466035.4727,705540.3835,705540.3835,0,0,705540.3835
160,CSSSA002611,7,2017,1,2,183664.903,183664.903,0,0,183664.903,116508.8682,116508.8682,0,0,116508.8682,176385.0959,176385.0959,0,0,176385.0959
